vertex_id,distance
0,0.381576
1,0.386082
2,0.390377
3,0.394875
4,0.381403
5,0.375925
6,0.371094
7,0.399243
8,0.365994
9,0.384847
10,0.389510
11,0.361494
12,0.394133
13,0.403914
14,0.379473
15,0.374606
16,0.398680
17,0.384063
18,0.369676
19,0.356155
20,0.414320
21,0.364973
22,0.388523
23,0.393415
24,0.409229
25,0.359993
26,0.351109
27,0.413236
28,0.403803
29,0.378148
30,0.373355
31,0.397761
32,0.382892
33,0.407814
34,0.368493
35,0.417859
36,0.387541
37,0.354122
38,0.346476
39,0.363396
40,0.402382
41,0.392236
42,0.412611
43,0.423028
44,0.349944
45,0.434117
46,0.377321
47,0.396811
48,0.407013
49,0.357607
50,0.417493
51,0.372064
52,0.381692
53,0.366977
54,0.341397
55,0.428717
56,0.386520
57,0.353386
58,0.345040
59,0.412008
60,0.401828
61,0.391272
62,0.433665
63,0.422923
64,0.361227
65,0.396054
66,0.406347
67,0.348285
68,0.356849
69,0.427841
70,0.439134
71,0.416782
72,0.371518
73,0.380484
74,0.385467
75,0.411178
76,0.400721
77,0.433406
78,0.422185
79,0.444859
80,0.365637
81,0.375271
82,0.338660
83,0.351637
84,0.390221
85,0.342950
86,0.438961
87,0.360291
88,0.450515
89,0.427471
90,0.416291
91,0.405647
92,0.395145
93,0.444705
94,0.334558
95,0.338947
96,0.384550
97,0.433036
98,0.346305
99,0.355180
100,0.456780
101,0.421684
102,0.374258
103,0.410583
104,0.399969
105,0.379276
106,0.368847
107,0.438779
108,0.342145
109,0.451351
110,0.461649
111,0.363963
112,0.426980
113,0.389140
114,0.394370
115,0.415811
116,0.455444
117,0.431894
118,0.358994
119,0.329517
120,0.404672
121,0.445079
122,0.409221
123,0.458206
124,0.348445
125,0.450822
126,0.344828
127,0.464351
128,0.425618
129,0.332320
130,0.398971
131,0.438203
132,0.420928
133,0.378104
134,0.372812
135,0.455733
136,0.383090
137,0.367690
138,0.388254
139,0.442256
140,0.443819
141,0.465435
142,0.414941
143,0.404095
144,0.335565
145,0.352025
146,0.432147
147,0.462230
148,0.450783
149,0.362009
150,0.393058
151,0.420506
152,0.409161
153,0.424446
154,0.347570
155,0.323566
156,0.432576
157,0.437924
158,0.455673
159,0.467517
160,0.398232
161,0.338963
162,0.425928
163,0.355830
164,0.461413
165,0.443822
166,0.381948
167,0.414446
168,0.376626
169,0.326142
170,0.367007
171,0.330233
172,0.403252
173,0.387047
174,0.431733
175,0.450403
176,0.319852
177,0.415428
178,0.351155
179,0.371036
180,0.415982
181,0.341973
182,0.436803
183,0.392208
184,0.474445
185,0.455318
186,0.419692
187,0.437727
