Filename,Total_Vertices,Mean,Median,Std,Min,Max,RMSE,Pct_Within_Cutoff,R1_Count,R1_Mean,R1_Max,R1_RMSE,R1_Pct_Within,R2_Count,R2_Mean,R2_Max,R2_RMSE,R2_Pct_Within,R3_Count,R3_Mean,R3_Max,R3_RMSE,R3_Pct_Within,R4_Count,R4_Mean,R4_Max,R4_RMSE,R4_Pct_Within,R5_Count,R5_Mean,R5_Max,R5_RMSE,R5_Pct_Within,R6_Count,R6_Mean,R6_Max,R6_RMSE,R6_Pct_Within,R7_Count,R7_Mean,R7_Max,R7_RMSE,R7_Pct_Within
1_70_directional.obj,7160,0.112501,0.004200,0.227499,0.000000,0.998501,0.253796,91.03,850,0.000000,0.000000,0.000000,100.00,667,0.000055,0.002499,0.000358,100.00,2318,0.146531,0.871201,0.253657,90.34,760,0.000046,0.003799,0.000374,100.00,400,0.001858,0.014601,0.003533,100.00,1009,0.004867,0.042200,0.008843,100.00,1156,0.398028,0.998501,0.519484,63.84
2_70_directional.obj,7160,0.225001,0.008350,0.454998,0.000000,1.997002,0.507591,84.47,850,0.000000,0.000000,0.000000,100.00,667,0.000111,0.004902,0.000715,100.00,2318,0.293062,1.742302,0.507313,78.52,760,0.000092,0.007599,0.000743,100.00,400,0.003715,0.029200,0.007067,100.00,1009,0.009730,0.084299,0.017682,100.00,1156,0.796053,1.997002,1.038969,46.89
3_70_directional.obj,7160,0.337502,0.012500,0.682496,0.000000,2.995399,0.761386,80.95,850,0.000000,0.000000,0.000000,100.00,667,0.000166,0.007401,0.001075,100.00,2318,0.439593,2.613503,0.760969,72.04,760,0.000138,0.011400,0.001115,100.00,400,0.005575,0.043800,0.010602,100.00,1009,0.014599,0.126499,0.026528,100.00,1156,1.194081,2.995399,1.558453,38.06
4_70_directional.obj,7160,0.450001,0.016700,0.909994,0.000000,3.993900,1.015180,78.32,850,0.000000,0.000000,0.000000,100.00,667,0.000222,0.009899,0.001432,100.00,2318,0.586125,3.484699,1.014624,67.04,760,0.000184,0.015099,0.001484,100.00,400,0.007431,0.058399,0.014132,100.00,1009,0.019462,0.168600,0.035364,100.00,1156,1.592103,3.993900,2.077934,31.83
5_70_directional.obj,7160,0.562502,0.020900,1.137493,0.000000,4.992401,1.268976,76.45,850,0.000000,0.000000,0.000000,100.00,667,0.000277,0.012402,0.001790,100.00,2318,0.732656,4.355900,1.268283,63.59,760,0.000230,0.018900,0.001856,100.00,400,0.009290,0.073000,0.017668,100.00,1009,0.024330,0.210800,0.044208,100.00,1156,1.990129,4.992401,2.597418,27.16
6_70_directional.obj,7160,0.675001,0.025050,1.364991,0.000000,5.990898,1.522769,74.92,850,0.000000,0.000000,0.000000,100.00,667,0.000333,0.014801,0.002154,100.00,2318,0.879186,5.227001,1.521937,60.74,760,0.000276,0.022699,0.002227,100.00,400,0.011147,0.087601,0.021199,100.00,1009,0.029194,0.252998,0.053048,100.00,1156,2.388153,5.990898,3.116898,23.36
7_70_directional.obj,7160,0.787501,0.029250,1.592489,0.000000,6.989300,1.776564,73.55,850,0.000000,0.000000,0.000000,100.00,667,0.000388,0.017300,0.002508,100.00,2318,1.025717,6.098202,1.775592,58.07,760,0.000322,0.026499,0.002599,100.00,400,0.013007,0.102200,0.024734,100.00,1009,0.034060,0.295099,0.061890,100.00,1156,2.786179,6.989300,3.636383,20.24
8_70_directional.obj,7160,0.900002,0.033401,1.819988,0.000000,7.987801,2.030359,72.63,850,0.000000,0.000000,0.000000,100.00,667,0.000444,0.019802,0.002869,100.00,2318,1.172248,6.969402,2.029248,56.43,760,0.000368,0.030300,0.002971,100.00,400,0.014865,0.116899,0.028271,100.00,1009,0.038927,0.337299,0.070735,100.00,1156,3.184205,7.987801,4.155866,17.82
