vertex_id,distance
0,0.361733
1,0.404419
2,0.463249
3,0.539673
4,0.353058
5,0.272598
6,0.216118
7,0.625542
8,0.173073
9,0.371346
10,0.439987
11,0.140793
12,0.532527
13,0.759628
14,0.317437
15,0.258309
16,0.619622
17,0.385407
18,0.208572
19,0.108025
20,0.948792
21,0.168518
22,0.467020
23,0.542966
24,0.902855
25,0.133286
26,0.084908
27,0.932862
28,0.759987
29,0.332054
30,0.271057
31,0.662781
32,0.402580
33,0.860283
34,0.218002
35,1.069328
36,0.489418
37,0.104164
38,0.071602
39,0.175400
40,0.774811
41,0.582985
42,0.986576
43,1.303192
44,0.082413
45,1.550961
46,0.348335
47,0.690224
48,0.904030
49,0.134277
50,1.141323
51,0.280914
52,0.419701
53,0.225784
54,0.062668
55,1.499756
56,0.504463
57,0.111198
58,0.065002
59,1.054855
60,0.825806
61,0.604740
62,1.534089
63,1.312317
64,0.178063
65,0.719879
66,0.951607
67,0.086037
68,0.146690
69,1.463650
70,1.721367
71,1.204052
72,0.298195
73,0.432579
74,0.521320
75,1.094296
76,0.845608
77,1.638954
78,1.368885
79,1.965439
80,0.234909
81,0.357056
82,0.055382
83,0.115303
84,0.624805
85,0.066849
86,1.820843
87,0.187836
88,2.211906
89,1.553024
90,1.264355
91,0.992226
92,0.741356
93,2.007259
94,0.043514
95,0.054154
96,0.531364
97,1.735539
98,0.089527
99,0.150135
100,2.397331
101,1.445110
102,0.363941
103,1.144997
104,0.873711
105,0.443031
106,0.293278
107,1.921494
108,0.073093
109,2.240368
110,2.544079
111,0.239292
112,1.628368
113,0.639877
114,0.754108
115,1.318253
116,2.373859
117,1.782230
118,0.194592
119,0.031994
120,1.027813
121,2.169605
122,1.150349
123,2.724266
124,0.113056
125,2.315006
126,0.091702
127,2.550961
128,1.646931
129,0.038597
130,0.891720
131,2.016438
132,1.510807
133,0.448372
134,0.367168
135,2.504810
136,0.543022
137,0.300217
138,0.646526
139,2.872414
140,2.226948
141,2.729073
142,1.356953
143,1.041016
144,0.052795
145,0.147495
146,1.889465
147,2.703869
148,2.430882
149,0.242603
150,0.767178
151,1.542404
152,1.203991
153,3.028721
154,0.121208
155,0.024906
156,2.897148
157,2.103409
158,2.637589
159,2.859489
160,0.903709
161,0.073341
162,1.739449
163,0.189079
164,2.820728
165,2.326694
166,0.543346
167,1.384972
168,0.450764
169,0.028187
170,0.312168
171,0.041111
172,1.056278
173,0.650333
174,1.951180
175,2.527866
176,0.022576
177,3.142971
178,0.155373
179,0.369793
180,3.088676
181,0.094997
182,3.096935
183,0.772449
184,3.024765
185,2.717007
186,1.572227
187,2.169605
188,1.223125
189,0.022888
190,0.245556
191,3.153233
192,1.780216
193,3.203918
194,3.171146
195,2.943001
196,0.033741
197,0.908577
198,2.385723
199,1.392231
200,0.543060
201,0.053070
202,0.123447
203,3.090664
204,1.978725
205,3.213547
206,0.196106
207,2.609066
208,0.041630
209,0.449474
210,0.770107
211,0.370117
212,1.596794
213,3.357693
214,3.353981
215,0.648121
216,2.212490
217,1.061771
218,3.335960
219,1.228321
220,2.983181
221,0.020028
222,0.069969
223,3.306725
224,2.836327
225,0.303448
226,2.434792
227,0.157433
228,1.803158
229,3.493481
230,3.462254
231,0.904396
232,0.022476
233,3.217403
234,0.243404
235,3.472229
236,1.600151
237,1.440781
238,0.056335
239,2.692810
240,0.092113
241,2.194450
242,1.055012
243,2.020538
244,2.868584
245,0.199581
246,3.542675
247,3.401863
248,0.535236
249,0.443939
250,0.640686
251,1.220284
252,0.031441
253,3.600811
254,3.077309
255,3.605503
256,3.540398
257,0.370186
258,2.457130
259,1.802998
260,0.013058
261,0.758881
262,0.074303
263,0.118870
264,3.556267
265,3.278095
266,1.400341
267,2.680569
268,0.892799
269,3.601650
270,2.018646
271,0.042931
272,0.250584
273,3.727905
274,0.016365
275,3.450447
276,1.043827
277,0.009453
278,2.898212
279,0.295979
280,3.701866
281,1.586647
282,3.719837
283,3.606239
284,0.096149
285,2.230320
286,3.112644
287,0.057198
288,1.205582
289,0.148159
290,0.451328
291,3.791397
292,1.795547
293,0.627865
294,3.621155
295,2.464485
296,3.782784
297,3.287971
298,0.023399
299,0.012592
300,3.637123
301,1.367527
302,2.671368
303,3.747974
304,3.730801
305,1.998077
306,0.192295
307,0.520809
308,0.078011
309,0.003487
310,0.123203
311,0.875698
312,0.738796
313,2.902508
314,0.349892
315,3.638138
316,0.017448
317,2.225132
318,0.292812
319,3.616348
320,3.486931
321,3.110298
322,3.885670
323,0.101406
324,1.150307
325,0.009132
326,0.030403
327,3.862835
328,1.560535
329,1.013916
330,2.448372
331,3.859886
332,1.772064
333,0.154163
334,3.764771
335,0.236565
336,3.324551
337,3.771248
338,0.024113
339,2.879742
340,0.000437
341,3.699223
342,0.041519
343,0.508999
344,3.472725
345,0.013069
346,2.686031
347,1.343086
348,2.192993
349,0.608154
350,0.720757
351,0.422916
352,3.942566
353,1.999271
354,3.940418
355,0.126072
356,0.057171
357,3.879921
358,1.528751
359,0.843914
360,0.018364
361,0.347572
362,3.877956
363,0.000231
364,3.632931
365,3.085575
366,0.985958
367,0.032616
368,0.283859
369,2.410091
370,0.188282
371,3.822433
372,3.262676
373,3.979164
374,0.158051
375,1.713497
376,1.135956
377,3.759380
378,0.074257
379,0.000061
380,3.954453
381,2.609882
382,3.948898
383,3.875900
384,0.008251
385,3.439201
386,1.922234
387,1.302681
388,2.824921
389,0.025437
390,0.506176
391,3.853161
392,2.131405
393,0.694172
394,3.583885
395,0.000466
396,1.466759
397,0.338215
398,0.000047
399,0.095955
400,3.013752
401,0.216991
