vertex_id,distance
0,0.181107
1,0.202316
2,0.231346
3,0.269440
4,0.176674
5,0.136375
6,0.107910
7,0.312683
8,0.086708
9,0.185791
10,0.220398
11,0.070595
12,0.264130
13,0.379890
14,0.159096
15,0.129265
16,0.310822
17,0.191963
18,0.104134
19,0.054115
20,0.474403
21,0.084122
22,0.233025
23,0.274315
24,0.451347
25,0.066650
26,0.042977
27,0.466042
28,0.380516
29,0.165817
30,0.134964
31,0.328781
32,0.202179
33,0.428856
34,0.109573
35,0.534790
36,0.244118
37,0.051598
38,0.035752
39,0.087585
40,0.388481
41,0.291214
42,0.495102
43,0.651466
44,0.041695
45,0.775501
46,0.174263
47,0.346138
48,0.452003
49,0.067833
50,0.569588
51,0.140633
52,0.209633
53,0.112846
54,0.031136
55,0.749920
56,0.252403
57,0.055550
58,0.032349
59,0.526066
60,0.412605
61,0.302292
62,0.766857
63,0.656075
64,0.089027
65,0.359608
66,0.475815
67,0.043076
68,0.072815
69,0.732025
70,0.860767
71,0.603390
72,0.149277
73,0.216389
74,0.260803
75,0.547680
76,0.422573
77,0.819996
78,0.684803
79,0.982689
80,0.117371
81,0.178459
82,0.027542
83,0.057541
84,0.312660
85,0.033367
86,0.909641
87,0.093906
88,1.106232
89,0.776012
90,0.631439
91,0.496334
92,0.370750
93,1.003693
94,0.021855
95,0.027031
96,0.265560
97,0.867706
98,0.044731
99,0.075268
100,1.198769
101,0.722240
102,0.181969
103,0.572571
104,0.437069
105,0.221539
106,0.146530
107,0.961487
108,0.036430
109,1.121048
110,1.272270
111,0.119690
112,0.814472
113,0.319847
114,0.377022
115,0.659199
116,1.186043
117,0.891064
118,0.097347
119,0.016068
120,0.513947
121,1.084404
122,0.574989
123,1.362301
124,0.056629
125,1.157528
126,0.045948
127,1.276070
128,0.823631
129,0.019424
130,0.445755
131,1.007874
132,0.755489
133,0.224293
134,0.183697
135,1.252090
136,0.271496
137,0.150166
138,0.323330
139,1.436531
140,1.113689
141,1.364349
142,0.678551
143,0.520580
144,0.026592
145,0.073715
146,0.944614
147,1.352299
148,1.215408
149,0.121178
150,0.383572
151,0.771061
152,0.601986
153,1.514614
154,0.060482
155,0.012356
156,1.448521
157,1.051907
158,1.319038
159,1.429485
160,0.451885
161,0.036583
162,0.869511
163,0.094414
164,1.410122
165,1.163383
166,0.271729
167,0.692505
168,0.225357
169,0.014195
170,0.156082
171,0.020309
172,0.528103
173,0.325157
174,0.975555
175,1.263798
176,0.011086
177,1.571705
178,0.077747
179,0.184937
180,1.544388
181,0.047443
182,1.548702
183,0.386238
184,1.512306
185,1.358597
186,0.786121
187,1.084858
188,0.611588
189,0.011253
190,0.122883
191,1.576683
192,0.890129
193,1.601879
194,1.585693
195,1.471493
196,0.016708
197,0.454300
198,1.192719
199,0.696110
200,0.271477
201,0.026489
202,0.061760
203,1.545563
204,0.989506
205,1.607372
206,0.098083
207,1.304485
208,0.020973
209,0.224854
210,0.385017
211,0.185017
212,0.798340
213,1.678432
214,1.676685
215,0.324070
216,1.106182
217,0.530926
218,1.668041
219,0.614193
220,1.491505
221,0.009880
222,0.035065
223,1.653378
224,1.418152
225,0.151741
226,1.217484
227,0.078632
228,0.901550
229,1.747601
230,1.731049
231,0.452209
232,0.011521
233,1.608643
234,0.121632
235,1.736263
236,0.800068
237,0.720390
238,0.028099
239,1.346420
240,0.046078
241,1.097187
242,0.527500
243,1.010254
244,1.434406
245,0.099739
246,1.771271
247,1.700901
248,0.267651
249,0.221859
250,0.320374
251,0.610134
252,0.015911
253,1.799812
254,1.538734
255,1.802864
256,1.770241
257,0.185162
258,1.228519
259,0.901489
260,0.006676
261,0.379471
262,0.037151
263,0.059460
264,1.778160
265,1.639179
266,0.700150
267,1.340206
268,0.446373
269,1.800758
270,1.009285
271,0.021458
272,0.125328
273,1.863640
274,0.008045
275,1.725224
276,0.521904
277,0.004781
278,1.449059
279,0.148075
280,1.851082
281,0.793304
282,1.860180
283,1.802952
284,0.048073
285,1.115189
286,1.556309
287,0.028706
288,0.602741
289,0.074177
290,0.225689
291,1.895523
292,0.897736
293,0.313927
294,1.810562
295,1.232288
296,1.891785
297,1.643959
298,0.011425
299,0.006424
300,1.818531
301,0.683769
302,1.335632
303,1.873734
304,1.865185
305,0.999023
306,0.096153
307,0.260376
308,0.038887
309,0.001918
310,0.061543
311,0.437904
312,0.369381
313,1.451290
314,0.174938
315,1.819260
316,0.008648
317,1.112514
318,0.146374
319,1.808212
320,1.743431
321,1.555202
322,1.943272
323,0.050571
324,0.575245
325,0.004582
326,0.015152
327,1.931870
328,0.780228
329,0.506947
330,1.224213
331,1.929672
332,0.886127
333,0.077087
334,1.882298
335,0.118324
336,1.662189
337,1.885731
338,0.012058
339,1.439869
340,0.000185
341,1.849579
342,0.020782
343,0.254498
344,1.736435
345,0.006569
346,1.343060
347,0.671635
348,1.096474
349,0.304062
350,0.360367
351,0.211487
352,1.969944
353,0.999615
354,1.970455
355,0.063015
356,0.028557
357,1.939877
358,0.764328
359,0.422012
360,0.009289
361,0.173775
362,1.938953
363,0.000138
364,1.816456
365,1.542812
366,0.492916
367,0.016296
368,0.141979
369,1.205059
370,0.094166
371,1.910995
372,1.631348
373,1.989822
374,0.079052
375,0.856716
376,0.567966
377,1.879723
378,0.037106
379,0.000040
380,1.978790
381,1.304844
382,1.974316
383,1.937660
384,0.004067
385,1.719528
386,0.961025
387,0.651310
388,1.412518
389,0.012745
390,0.253033
391,1.926556
392,1.065746
393,0.347076
394,1.791912
395,0.000261
396,0.733364
397,0.169163
398,0.000144
399,0.048012
400,1.506786
401,0.108425
402,1.921345
403,0.006619
404,0.203228
405,0.289215
406,1.166622
407,0.474457
408,1.599815
409,0.020729
410,1.857159
411,1.996616
412,0.092804
413,1.967842
414,0.402592
415,1.995258
416,0.016331
417,1.272346
418,0.916573
419,0.000321
420,0.059303
421,0.824280
422,0.628426
423,1.913452
424,1.962692
425,0.004616
426,0.136856
427,1.745708
428,0.554958
429,1.670300
430,0.008884
431,1.471737
432,0.000062
433,1.995899
434,1.377480
435,1.899761
436,1.984726
437,1.917721
438,0.000241
439,0.073566
440,1.979580
441,1.134037
442,1.020096
443,0.026623
444,0.110413
445,1.935364
446,1.552315
447,0.709579
448,0.277882
449,1.931152
450,0.000192
451,0.329346
452,0.233650
453,1.811077
454,0.386135
