source_vertex_id,target_vertex_id,distance
0,3633,0.212146
1,1,0.236864
2,2,0.265766
3,3,0.200405
4,3634,0.276241
5,5,0.296436
6,6,0.368483
7,9,0.438540
8,8,0.687617
9,7,0.530729
10,11,0.688557
11,10,0.645635
12,12,0.858154
13,15,0.459413
14,14,0.949265
15,13,0.408244
16,3638,0.118334
17,17,0.164160
18,18,0.129291
19,20,0.322627
20,19,0.399367
21,3640,0.084600
22,22,0.122683
23,23,0.137300
24,26,0.977737
25,167,0.260541
26,26,1.138959
27,3643,0.374515
28,28,0.355725
29,3644,0.309766
30,3645,0.243986
31,31,0.264490
32,3646,0.192375
33,34,1.142987
34,34,1.220035
35,36,1.062465
36,274,1.171549
37,37,0.504769
38,3649,0.564144
39,39,0.542153
40,3650,0.429863
41,41,0.442352
42,43,0.277058
43,42,0.174801
44,44,0.267787
45,45,0.153626
46,370,1.185579
47,367,0.311484
48,49,0.564642
49,48,0.651370
50,50,0.152677
51,51,0.372731
52,53,0.992357
53,313,1.047953
54,4244,1.739128
55,4367,1.814123
56,4244,1.610009
57,3893,0.764326
58,3891,0.528588
59,3926,0.348551
60,3661,0.552015
61,61,1.054699
62,3662,0.377383
63,63,0.160019
64,3663,0.885568
65,65,0.663607
66,66,0.845422
67,66,0.586539
68,68,0.733945
69,69,0.687786
70,3665,0.760743
71,3666,0.617599
72,72,0.626832
73,73,0.310866
74,364,0.606407
75,75,0.370929
76,77,0.760150
77,76,0.808721
78,362,0.326639
79,80,0.272235
80,79,0.495452
81,81,0.231417
82,83,0.198253
83,82,0.181079
84,84,0.162584
85,86,0.422446
86,85,0.373027
87,87,0.305687
88,373,0.428321
89,90,0.310375
90,89,0.569727
91,376,1.303125
92,93,0.938135
93,383,0.917460
94,4500,1.710696
95,4370,1.598990
96,4500,2.155540
97,3925,0.906940
98,4025,0.942169
99,3680,0.894429
100,100,0.883268
101,3681,0.853914
102,102,0.959462
103,3682,0.815905
104,104,0.822604
105,105,0.273122
106,474,1.280167
107,107,0.147244
108,109,0.722139
109,108,0.428022
110,581,1.305130
111,480,0.787460
112,112,0.151509
113,4620,2.589887
114,4502,2.090360
115,4502,2.466454
116,4743,2.850768
117,4619,2.113461
118,4621,2.332826
119,4258,1.025074
120,4134,0.617285
121,4257,1.384429
122,122,0.502325
123,581,0.880977
124,124,0.487623
125,697,0.496401
126,4867,2.938641
127,4623,2.226836
128,4623,2.521066
129,4868,3.057481
130,4748,2.418201
131,4388,1.514337
132,4257,0.938204
133,4387,1.929781
134,135,0.782735
135,134,0.510097
136,136,0.166539
137,138,1.130265
138,137,0.904277
139,582,1.156046
140,4870,3.289817
141,4870,2.632274
142,4872,2.814683
143,4983,3.475311
144,4983,2.896044
145,4646,2.303429
146,4523,1.557495
147,4645,2.677469
148,5094,3.786065
149,4984,3.134844
150,4986,3.134628
151,5096,3.835630
152,5095,3.288699
153,4884,4.062800
154,4883,3.012208
155,4884,3.757676
156,4883,3.099442
157,4883,3.659457
158,4764,2.445397
159,159,1.040733
160,3711,0.131028
161,161,0.163604
162,4990,3.334075
163,4990,4.084056
164,5200,4.120574
165,5098,3.408972
166,5200,4.613205
167,25,0.445391
168,168,0.211208
169,380,1.062679
170,582,0.997699
171,136,1.242624
172,4990,3.397171
173,4884,3.308154
174,3715,0.248581
175,175,0.452862
176,3716,0.365783
177,3717,0.316811
178,178,0.495661
179,3718,0.454287
180,3719,0.410069
181,3720,0.369699
182,3722,0.531726
183,3721,0.496840
184,3723,0.454359
185,185,0.580641
186,3725,0.583879
187,3724,0.541200
188,3726,0.631161
189,3727,0.684650
190,3728,0.762118
191,3729,0.152694
192,3730,0.197743
193,3731,0.292255
194,3732,0.240293
195,3733,0.333821
196,3734,0.416943
197,3735,0.501088
198,3736,0.637988
199,3737,0.590927
200,3738,0.721810
201,3740,0.856030
202,3739,0.813955
203,3741,0.947055
204,3742,0.076651
205,3743,0.115259
206,3744,0.167482
207,3745,0.208426
208,3746,0.281119
209,3747,0.251424
210,3749,0.375071
211,3748,0.425474
212,3750,0.317247
213,3752,0.462790
214,3751,0.510643
215,3754,0.550553
216,3753,0.589907
217,3755,0.684894
218,3756,0.643299
219,3757,0.773686
220,3758,1.036452
221,3759,1.003201
222,3760,0.902754
223,3760,0.799510
224,3762,0.866161
225,3763,0.950362
226,3764,0.089018
227,3765,0.073032
228,3766,0.111300
229,3767,0.166963
230,3768,0.200885
231,3769,0.242783
232,3770,0.281628
233,3771,0.278393
234,3772,0.400229
235,3773,0.351834
236,3774,0.316694
237,3775,0.476513
238,3776,0.560577
239,3777,0.655924
240,3778,0.744007
241,3779,0.706264
242,3780,0.825079
243,3781,1.126179
244,3782,1.082486
245,3783,1.041821
246,3784,0.921161
247,3785,0.920631
248,3786,1.003471
249,249,0.321433
250,3787,0.154118
251,3788,0.184881
252,3789,0.129809
253,3790,0.119164
254,3791,0.141810
255,3792,0.189283
256,3793,0.213125
257,3794,0.258502
258,3795,0.295685
259,3796,0.304712
260,3797,0.318385
261,3798,0.447486
262,3799,0.381329
263,3800,0.338913
264,3801,0.529774
265,3802,0.331274
266,3803,0.616938
267,3804,0.710513
268,3805,0.790812
269,3806,0.750797
270,3807,0.793913
271,3808,0.884492
272,3809,1.214248
273,3641,0.840572
274,36,1.101545
275,3647,0.848746
276,3813,1.132413
277,3814,1.094858
