source_vertex_id,target_vertex_id,distance
321,4079,8.234569
322,4079,8.448394
323,3661,0.778515
324,3933,1.048917
325,3858,0.262118
326,3859,0.214578
327,3860,0.297682
328,3861,0.392052
329,3862,0.567680
330,3863,0.490897
331,3864,0.628905
332,3865,0.764085
333,3866,1.032122
334,3867,0.914962
335,3869,0.639724
336,3869,1.054460
337,3871,0.588812
338,3871,1.182691
339,3872,1.292225
340,3956,1.505920
341,3957,1.195366
342,3958,1.157119
343,3960,1.494254
344,3961,1.067965
345,3962,0.938725
346,3963,2.382427
347,3964,1.723633
348,3965,1.087769
349,4067,2.825021
350,3968,1.048275
351,4070,3.213422
352,3970,1.179304
353,4073,3.677478
354,4075,4.316239
355,4076,5.390076
356,4192,5.011972
357,4078,6.041397
358,3892,0.903687
359,3931,1.039547
360,3931,0.977220
361,3978,0.361122
362,3982,1.250815
363,4085,0.854334
364,3984,1.196780
365,4084,0.993047
366,4091,1.367579
367,3990,1.560413
368,4088,1.469323
369,4089,1.643497
370,4090,1.897279
371,4203,1.692438
372,4097,1.298914
373,4209,1.997261
374,4331,2.748320
375,4333,5.538485
376,4470,5.253999
377,4211,4.591771
378,4329,3.387283
379,4462,4.163475
380,4474,4.306005
381,4470,4.921456
382,4473,3.642926
383,4234,8.393695
384,4118,9.033689
385,4235,9.713846
386,4120,9.645022
387,4237,10.049605
388,4020,9.587131
389,4123,9.131085
390,4077,7.771316
391,4195,6.890053
392,4122,8.758337
393,3924,0.071839
394,3923,0.070670
395,4024,1.058208
396,3929,0.614610
397,4029,0.790019
398,4028,0.498894
399,4027,1.129667
400,4080,1.163084
401,4081,0.969779
402,4030,0.359941
403,4031,0.117301
404,4032,0.319203
405,3937,0.944497
406,3980,1.294570
407,4033,0.841986
408,3938,0.085216
409,3939,0.044473
410,3940,0.112574
411,3941,0.084851
412,3942,0.152593
413,3943,0.256580
414,3944,0.205245
415,3945,0.298628
416,3946,0.378263
417,3947,0.547645
418,3948,0.466238
419,3949,0.594795
420,3950,0.730647
421,3951,0.851818
422,3952,0.976201
423,3953,1.088253
424,3954,1.174431
425,3956,1.191460
426,4057,0.954582
427,3957,1.226752
428,3958,1.443529
429,3960,0.993978
430,4061,1.088781
431,4063,1.168308
432,4061,1.083846
433,4066,1.590821
434,4068,0.986199
435,4069,0.484778
436,4181,2.114523
437,4071,0.867442
438,4072,0.934266
439,4186,2.516299
440,4074,0.747456
441,4189,2.984209
442,4191,3.496481
443,4192,4.231144
444,4193,5.518384
445,4193,5.357824
446,4313,4.755179
447,4195,6.143586
448,4082,0.784712
449,4083,1.554864
450,4083,1.309417
451,4085,1.551684
452,4199,1.708795
453,4196,1.262482
454,4198,1.564146
455,4200,1.659325
456,4201,1.772316
457,4205,2.288291
458,4204,2.008951
459,4324,2.098891
460,4324,2.364465
461,4202,1.445208
462,4328,2.816576
463,4328,2.858743
464,4329,3.447282
465,4331,3.121044
466,4460,3.596875
467,4464,5.033568
468,4468,5.489111
469,4463,4.555017
470,4468,4.828877
471,4461,4.035765
472,4463,4.288367
473,4477,3.388092
474,4476,4.727395
475,4471,4.705559
476,4473,3.497377
477,4473,2.551760
478,4476,4.400371
479,4476,5.328500
480,4356,8.596380
481,4236,9.300583
482,4236,9.968535
483,4358,10.214970
484,4239,10.051011
485,4360,10.266440
486,4243,9.883285
487,4241,9.437529
488,4194,7.881845
489,4195,6.838773
490,4365,9.129764
491,4022,0.071796
492,4021,0.070626
493,4023,0.069196
494,4024,1.055017
495,4026,1.095145
496,4027,1.104083
497,4027,1.267236
498,4140,0.679400
499,4139,0.830197
500,4144,0.466319
501,4145,0.512420
502,4146,0.966549
503,4146,1.507023
504,504,0.062662
505,4034,0.057020
506,4035,0.068837
507,4036,0.046602
508,4037,0.006474
509,4038,0.026155
510,4039,0.009610
511,4040,0.041874
512,4041,0.108747
513,4042,0.078059
514,4043,0.131445
515,4044,0.247666
516,4045,0.189607
517,4046,0.288959
518,4047,0.251160
519,4048,0.359057
520,4049,0.521935
521,4050,0.433398
522,4051,0.574192
523,4052,0.687293
524,4053,0.771755
525,4054,0.893564
526,4055,0.985825
527,4056,1.054321
528,4058,1.190910
529,4173,1.042274
530,4174,1.002523
531,4060,1.262492
532,4062,0.925348
533,4062,1.235895
534,4178,1.263582
535,4176,0.749038
536,4302,1.304321
537,4183,1.377784
538,4300,1.610177
539,4184,1.049671
540,4185,0.866296
541,4305,2.243909
542,4187,0.926703
543,4188,1.054040
544,4310,2.810251
545,4190,1.313036
546,4444,3.427367
547,4446,3.885353
548,4314,5.323117
549,4445,4.389215
550,4195,6.171220
551,4141,1.450972
552,4080,1.162662
553,4318,1.807112
