source_vertex_id,distance_to_surface
0,0.304661
1,0.152394
2,0.190978
3,0.174203
4,0.320431
5,0.194039
6,0.258197
7,0.250754
8,0.360253
9,0.348245
10,0.378867
11,0.227827
12,0.423462
13,0.355357
14,0.453140
15,0.199361
16,0.251690
17,0.126673
18,0.143923
19,0.181368
20,0.381373
21,0.225180
22,0.114893
23,0.151385
24,0.110716
25,0.190046
26,0.510010
27,0.252685
28,0.228269
29,0.244053
30,0.280207
31,0.198317
32,0.236855
33,0.115573
34,0.542054
35,0.177404
36,0.556364
37,0.273123
38,0.326966
39,0.290927
40,0.300988
41,0.253207
42,0.277021
43,0.089858
44,0.237610
45,0.210419
46,0.209729
47,0.061298
48,0.023620
49,0.020542
50,0.132915
51,0.026582
52,0.210677
53,0.571253
54,0.641856
55,0.484319
56,0.205956
57,0.175716
58,0.015017
59,0.020007
60,0.336802
61,0.216586
62,0.487581
63,0.445835
64,0.350244
65,0.407435
66,0.132137
67,0.153613
68,0.353795
69,0.329497
70,0.407767
71,0.385739
72,0.319108
73,0.295725
74,0.351449
75,0.219553
76,0.086771
77,0.252237
78,0.423679
79,0.285113
80,0.393633
81,0.222001
82,0.081580
83,0.302709
84,0.093828
85,0.108982
86,0.188094
87,0.123067
88,0.037458
89,0.241524
90,0.230695
91,0.356959
92,0.215009
93,0.559726
94,0.437216
95,0.318745
96,0.783297
97,0.111796
98,0.027328
99,0.521801
100,0.414663
101,0.441671
102,0.428331
103,0.484237
104,0.396629
105,0.023650
106,0.749230
107,0.107069
108,0.616426
109,0.460591
110,0.327724
111,0.511613
112,0.315399
113,1.269420
114,0.611195
115,1.051326
116,1.486496
117,0.892467
118,1.052615
119,0.021573
120,0.045383
121,0.001871
122,0.050934
123,0.181385
124,0.005792
125,0.119066
126,1.875529
127,1.225201
128,1.401388
129,2.158324
130,1.644276
131,0.053649
132,0.019645
133,0.099494
134,0.364783
135,0.187321
136,0.104605
137,0.159647
138,0.300251
139,0.454813
140,2.506113
141,1.876299
142,2.023473
143,2.750192
144,2.249303
145,0.537709
146,0.152595
147,0.726688
148,3.205814
149,2.518922
150,2.721104
151,3.420417
152,2.898726
153,2.564044
154,1.701938
155,2.702100
156,1.730859
