source_vertex_id,distance_to_surface
0,0.500484
1,0.270827
2,0.302098
3,0.319510
4,0.501120
5,0.303813
6,0.413610
7,0.248134
8,0.307344
9,0.292275
10,0.323632
11,0.201481
12,0.360240
13,0.313182
14,0.394517
15,0.173913
16,0.405647
17,0.230420
18,0.253563
19,0.151444
20,0.340714
21,0.339091
22,0.215939
23,0.229717
24,0.065989
25,0.153815
26,0.462438
27,0.301213
28,0.274665
29,0.295524
30,0.341158
31,0.252979
32,0.306910
33,0.059928
34,0.496597
35,0.119257
36,0.513564
37,0.316447
38,0.386173
39,0.341299
40,0.352590
41,0.300311
42,0.193245
43,0.297518
44,0.289802
45,0.068826
46,0.379358
47,0.225744
48,0.045233
49,0.058248
50,0.131607
51,0.007436
52,0.159374
53,0.535580
54,0.883955
55,0.815344
56,0.474331
57,0.204824
58,0.132558
59,0.121476
60,0.328139
61,0.298018
62,0.453542
63,0.468532
64,0.383631
65,0.438607
66,0.181630
67,0.180695
68,0.428197
69,0.394641
70,0.489990
71,0.453551
72,0.381243
73,0.260190
74,0.339048
75,0.184752
76,0.125389
77,0.179641
78,0.495012
79,0.196668
80,0.561666
81,0.296974
82,0.038825
83,0.367175
84,0.034734
85,0.031853
86,0.187463
87,0.154671
88,0.010484
89,0.213400
90,0.346573
91,0.619811
92,0.173769
93,0.533756
94,0.676117
95,0.578538
96,1.032116
97,0.036278
98,0.003424
99,0.632570
100,0.505067
101,0.541789
102,0.538739
103,0.580983
104,0.481254
105,0.239691
106,1.025549
107,0.298698
108,0.484482
109,0.668050
110,0.522694
111,0.497065
112,0.300473
113,1.477338
114,0.810606
115,1.227150
116,1.627629
117,1.018234
118,1.131846
119,0.128276
120,0.007137
121,0.144217
122,0.067965
123,0.353745
124,0.091271
125,0.252870
126,1.871815
127,1.243974
128,1.355525
129,2.041303
130,1.499355
131,0.376999
132,0.103212
133,0.437522
134,0.303965
135,0.305382
136,0.171539
137,0.150869
138,0.374981
139,0.473583
140,2.241173
141,1.651751
142,1.735555
143,2.376687
144,1.844502
145,1.044123
146,0.504509
147,1.196430
148,2.677188
149,2.063808
150,2.212157
151,2.820724
152,2.324491
153,2.685765
154,1.790166
155,2.579575
156,1.973794
157,2.122147
158,1.255043
159,0.430617
160,0.309834
161,0.220241
162,2.305867
163,2.896433
164,2.970989
165,2.437825
166,3.445736
167,0.352975
168,0.251526
