source_vertex_id,target_vertex_id,distance
0,3633,0.000000
1,1,0.000000
2,2,0.000000
3,3,0.000000
4,3634,0.000000
5,5,0.000000
6,6,0.000000
7,3635,0.000000
8,8,0.000000
9,9,0.000000
10,10,0.000000
11,3636,0.000000
12,12,0.000000
13,13,0.000000
14,14,0.000000
15,3637,0.000000
16,3638,0.000000
17,17,0.000000
18,18,0.000000
19,3639,0.000000
20,20,0.000000
21,3640,0.000000
22,22,0.000000
23,23,0.000000
24,3641,0.000000
25,3642,0.000000
26,26,0.000000
27,3643,0.000000
28,28,0.000000
29,3644,0.000000
30,3645,0.000000
31,31,0.000000
32,3646,0.000000
33,3647,0.000000
34,34,0.000000
35,3648,0.000000
36,36,0.000000
37,37,0.000000
38,3649,0.000000
39,39,0.000000
40,3650,0.000000
41,41,0.000000
42,3651,0.000000
43,43,0.000000
44,3652,0.000000
45,3653,0.000000
46,46,0.000000
47,47,0.000000
48,3654,0.000000
49,49,0.000000
50,3655,0.000000
51,3656,0.000000
52,3657,0.000000
53,53,0.000000
54,54,0.000000
55,3658,0.000000
56,56,0.000000
57,3659,0.000000
58,58,0.000000
59,3660,0.000000
60,3661,0.000000
61,61,0.000000
62,3662,0.000000
63,63,0.000000
64,3663,0.000000
65,65,0.000000
66,3664,0.000000
67,67,0.000000
68,68,0.000000
69,69,0.000000
70,3665,0.000000
71,3666,0.000000
72,72,0.000000
73,3667,0.000000
74,74,0.000000
75,3668,0.000000
76,3669,0.000000
77,77,0.000000
78,78,0.000000
79,3670,0.000000
80,80,0.000000
81,3671,0.000000
82,3672,0.000000
83,83,0.000000
84,3673,0.000000
85,3674,0.000000
86,86,0.000000
87,3675,0.000000
88,88,0.000000
89,3676,0.000000
90,90,0.000000
91,91,0.000000
92,3677,0.000000
93,93,0.000000
94,94,0.000000
95,95,0.000000
96,3678,0.000000
97,97,0.000000
98,3679,0.000000
99,3680,0.000000
100,100,0.000000
101,3681,0.000000
102,102,0.000000
103,3682,0.000000
104,104,0.000000
105,3683,0.000000
106,106,0.000000
107,3684,0.000000
108,3685,0.000000
109,109,0.000000
110,110,0.000000
111,111,0.000000
112,3686,0.000000
113,3687,0.000000
114,114,0.000000
115,3688,0.000000
116,3689,0.000000
117,117,0.000000
118,118,0.000000
119,3690,0.000000
120,120,0.000000
121,3691,0.000000
122,3692,0.000000
123,123,0.000000
124,3693,0.000000
125,125,0.000000
126,3694,0.000000
127,127,0.000000
128,128,0.000000
129,3695,0.000000
130,130,0.000000
131,3696,0.000000
132,132,0.000000
133,3697,0.000000
134,3698,0.000000
135,135,0.000000
136,3699,0.000000
137,3700,0.000000
138,138,0.000000
139,139,0.000000
140,3701,0.000000
141,141,0.000000
142,142,0.000000
143,3702,0.000000
144,144,0.000000
145,3703,0.000000
146,146,0.000000
147,3704,0.000000
148,3705,0.000000
149,149,0.000000
150,150,0.000000
151,3706,0.000000
152,152,0.000000
153,3707,0.000000
154,154,0.000000
155,3708,0.000000
156,3709,0.000000
157,3710,0.000000
158,158,0.000000
159,159,0.000000
160,3711,0.000000
161,161,0.000000
162,162,0.000000
163,3712,0.000000
164,3713,0.000000
165,165,0.000000
166,3714,0.000000
167,167,0.000000
168,168,0.000000
169,169,0.000000
170,170,0.000000
171,171,0.000000
172,172,0.000000
173,173,0.000000
174,3715,0.000000
175,175,0.000000
176,3716,0.000000
177,3717,0.000000
178,178,0.000000
179,3718,0.000000
180,3719,0.000000
181,3720,0.000000
182,3722,0.000000
183,3721,0.000000
184,3723,0.000000
185,185,0.000000
186,3725,0.000000
187,3724,0.000000
188,3726,0.000000
189,3727,0.000000
190,3728,0.000000
191,3729,0.000000
192,3730,0.000000
193,3731,0.000000
194,3732,0.000000
195,3733,0.000000
196,3734,0.000001
197,3735,0.000000
198,3736,0.000000
199,3737,0.000000
200,3738,0.000000
201,3740,0.000000
202,3739,0.000001
203,3741,0.000000
204,3742,0.000000
205,3743,0.000000
206,3744,0.000000
207,3745,0.000000
208,3746,0.000000
209,3747,0.000000
210,3749,0.000000
211,3748,0.000000
212,3750,0.000001
213,3752,0.000000
214,3751,0.000000
215,3754,0.000000
216,3753,0.000000
217,3755,0.000001
218,3756,0.000001
219,3757,0.000001
220,3758,0.000000
221,3759,0.000000
222,3760,0.000000
223,3761,0.000000
224,3762,0.000000
225,3763,0.000000
226,3764,0.000000
227,3765,0.000000
228,3766,0.000000
229,3767,0.000001
230,3768,0.000000
231,3769,0.000001
232,3770,0.000001
233,3771,0.000001
234,3772,0.000000
235,3773,0.000000
236,3774,0.000001
237,3775,0.000000
238,3776,0.000001
239,3777,0.000001
240,3778,0.000000
241,3779,0.000000
242,3780,0.000000
243,3781,0.000000
244,3782,0.000000
245,3783,0.000001
246,3784,0.000001
247,3785,0.000000
248,3786,0.000001
249,249,0.000000
250,3787,0.000000
251,3788,0.000000
252,3789,0.000000
253,3790,0.000001
254,3791,0.000000
255,3792,0.000001
256,3793,0.000000
257,3794,0.000001
258,3795,0.000001
259,3796,0.000001
260,3797,0.000001
261,3798,0.000001
262,3799,0.000000
263,3800,0.000001
264,3801,0.000000
265,3802,0.000000
266,3803,0.000000
267,3804,0.000000
268,3805,0.000000
269,3806,0.000000
270,3807,0.000001
271,3808,0.000001
272,3809,0.000000
273,3810,0.000000
274,3811,0.000000
275,3812,0.000000
276,3813,0.000000
277,3814,0.000000
278,3816,0.000000
279,3815,0.000000
280,3817,0.000001
281,3818,0.000000
282,3819,0.000000
283,3820,0.000000
284,3821,0.000000
285,3822,0.000000
286,3823,0.000000
287,3824,0.000000
288,3825,0.000000
289,3826,0.000000
290,3827,0.000000
291,3828,0.000001
292,3829,0.000001
293,3830,0.000001
294,3831,0.000001
295,3832,0.000001
296,3833,0.000001
297,3834,0.000000
298,3835,0.000001
299,3836,0.000001
300,3837,0.000001
301,3838,0.000000
302,3839,0.000001
303,3840,0.000000
304,3841,0.000001
305,3842,0.000001
306,3843,0.000000
307,3844,0.000000
308,3845,0.000000
309,3846,0.000000
310,3847,0.000001
311,311,0.000000
312,312,0.000000
313,3848,0.000000
314,3849,0.000000
315,3850,0.000000
316,3851,0.000000
317,3852,0.000000
318,3853,0.000001
319,3854,0.000000
320,3855,0.000001
321,3857,0.000000
322,3856,0.000000
323,323,0.000000
324,324,0.000000
325,3858,0.000000
326,3859,0.000000
327,3860,0.000000
328,3861,0.000000
329,3862,0.000001
330,3863,0.000000
331,3864,0.000000
332,3865,0.000000
333,3866,0.000000
334,3867,0.000000
335,3868,0.000000
336,3869,0.000001
337,3870,0.000001
338,3871,0.000001
339,3872,0.000001
340,3873,0.000001
341,3874,0.000001
342,3875,0.000000
343,3876,0.000000
344,3877,0.000001
345,3878,0.000001
346,3879,0.000001
347,3880,0.000001
348,3881,0.000001
349,3882,0.000000
350,3883,0.000001
351,3884,0.000000
352,3885,0.000001
353,3886,0.000001
354,3887,0.000001
355,3888,0.000001
356,3889,0.000000
357,3890,0.000001
358,3891,0.000000
359,3892,0.000000
360,3893,0.000000
361,361,0.000000
362,3894,0.000000
363,3895,0.000000
364,3896,0.000000
365,3897,0.000000
366,3899,0.000000
367,3898,0.000000
368,3900,0.000000
369,369,0.000000
370,3901,0.000000
371,3902,0.000000
372,372,0.000000
373,3903,0.000000
374,3904,0.000000
375,3906,0.000000
376,3905,0.000000
377,3907,0.000000
378,3908,0.000000
379,3909,0.000000
380,3910,0.000000
381,3911,0.000001
382,3912,0.000000
383,3913,0.000000
384,3914,0.000000
385,3915,0.000000
386,3916,0.000000
387,3917,0.000000
388,3918,0.000000
389,3919,0.000001
390,3920,0.000001
391,3921,0.000001
392,3922,0.000000
393,3924,0.000001
394,3923,0.000000
395,3925,0.000000
396,3926,0.000000
397,3928,0.000000
398,3927,0.000000
399,3929,0.000000
400,3930,0.000000
401,3931,0.000000
402,3932,0.000000
403,3933,0.000000
404,3934,0.000000
405,3935,0.000000
406,3936,0.000000
407,3937,0.000001
408,3938,0.000000
409,3939,0.000000
410,3940,0.000000
411,3941,0.000000
412,3942,0.000000
413,3943,0.000000
414,3944,0.000000
415,3945,0.000001
416,3946,0.000000
417,3947,0.000000
418,3948,0.000000
419,3949,0.000001
420,3950,0.000000
421,3951,0.000001
422,3952,0.000001
423,3953,0.000000
424,3954,0.000000
425,3955,0.000001
426,3956,0.000000
427,3957,0.000000
428,3958,0.000000
429,3959,0.000000
430,3960,0.000000
431,3961,0.000000
432,3962,0.000000
433,3963,0.000000
434,3964,0.000001
435,3965,0.000000
436,3966,0.000001
437,3967,0.000001
438,3968,0.000001
439,3969,0.000000
440,3970,0.000000
441,3971,0.000001
442,3972,0.000001
443,3973,0.000001
444,3974,0.000001
445,3975,0.000000
446,3976,0.000001
447,3977,0.000000
448,3978,0.000000
449,3979,0.000000
450,3980,0.000000
451,3981,0.000000
452,3982,0.000000
453,3983,0.000000
454,3984,0.000000
455,3985,0.000000
456,3986,0.000000
457,3987,0.000000
458,3988,0.000001
459,3990,0.000000
460,3989,0.000001
461,3991,0.000000
462,3992,0.000000
463,3993,0.000001
464,3994,0.000001
465,3995,0.000001
466,3996,0.000000
467,3997,0.000000
468,3998,0.000000
469,3999,0.000001
470,4000,0.000001
471,4001,0.000000
472,4002,0.000001
473,4004,0.000000
474,4003,0.000000
475,4005,0.000001
476,4006,0.000000
477,4007,0.000000
478,4009,0.000000
479,4008,0.000000
480,4010,0.000000
481,4011,0.000000
482,4012,0.000000
483,4013,0.000000
484,4014,0.000000
485,4015,0.000001
486,4016,0.000001
487,4017,0.000000
488,4018,0.000001
489,4019,0.000001
490,4020,0.000001
491,4022,0.000000
492,4021,0.000000
493,4023,0.000000
494,4024,0.000000
495,4025,0.000000
496,4026,0.000000
497,4027,0.000000
498,4029,0.000001
499,4028,0.000000
500,4030,0.000000
501,4031,0.000000
502,4032,0.000001
503,4033,0.000000
504,504,0.000000
505,4034,0.000000
506,4035,0.000000
507,4036,0.000000
508,4037,0.000000
509,4038,0.000001
510,4039,0.000001
511,4040,0.000000
512,4041,0.000000
513,4042,0.000000
514,4043,0.000000
515,4044,0.000000
516,4045,0.000001
517,4046,0.000001
518,4047,0.000001
519,4048,0.000000
520,4049,0.000000
521,4050,0.000000
522,4051,0.000001
523,4052,0.000001
524,4053,0.000000
525,4054,0.000001
526,4055,0.000000
527,4056,0.000000
528,4057,0.000000
529,4058,0.000000
530,4059,0.000000
531,4060,0.000000
532,4061,0.000000
533,4062,0.000000
534,4063,0.000000
535,4064,0.000000
536,4065,0.000001
537,4066,0.000000
538,4067,0.000000
539,4068,0.000001
540,4069,0.000001
541,4070,0.000001
542,4071,0.000000
543,4072,0.000000
544,4073,0.000000
545,4074,0.000000
546,4075,0.000000
547,4076,0.000001
548,4077,0.000001
549,4078,0.000000
550,4079,0.000001
551,4080,0.000000
552,4081,0.000000
553,4082,0.000000
554,4083,0.000000
555,4084,0.000001
556,4085,0.000001
557,4086,0.000000
558,4087,0.000001
559,4088,0.000000
560,4089,0.000000
561,4090,0.000001
562,4091,0.000001
563,4092,0.000000
564,4093,0.000000
565,4094,0.000001
566,4095,0.000000
567,4096,0.000001
568,4097,0.000000
569,4098,0.000001
570,4099,0.000001
571,4100,0.000000
572,4101,0.000001
573,4102,0.000001
574,4103,0.000000
575,4104,0.000000
576,4105,0.000000
577,4106,0.000001
578,4108,0.000000
579,4107,0.000000
580,4109,0.000000
581,4110,0.000000
582,4111,0.000000
583,4112,0.000000
584,4113,0.000000
585,4114,0.000000
586,4115,0.000001
587,4116,0.000001
588,4117,0.000001
589,4118,0.000000
590,4119,0.000001
591,4120,0.000001
592,4121,0.000001
593,4122,0.000001
594,4123,0.000001
595,4124,0.000001
596,4126,0.000000
597,4125,0.000000
598,4127,0.000001
599,4128,0.000001
600,4129,0.000000
601,4130,0.000000
602,4131,0.000000
603,4132,0.000000
604,604,0.000000
605,4133,0.000000
606,4134,0.000000
607,4135,0.000000
608,4136,0.000000
609,4137,0.000001
610,4138,0.000000
611,4140,0.000000
612,4139,0.000000
613,4141,0.000001
614,4142,0.000001
615,4143,0.000000
616,4144,0.000001
617,4145,0.000000
618,4147,0.000000
619,4146,0.000001
620,4148,0.000000
621,4149,0.000000
622,4150,0.000001
623,4151,0.000000
624,4152,0.000001
625,4153,0.000000
626,4154,0.000001
627,4155,0.000001
628,4156,0.000000
629,4157,0.000001
630,4158,0.000001
631,4159,0.000000
632,4160,0.000000
633,4161,0.000000
634,4162,0.000001
635,4163,0.000000
636,4164,0.000001
