Filename,Total_Vertices,Mean,Median,Std,Min,Max,RMSE,Pct_Within_Cutoff,R1_Count,R1_Mean,R1_Max,R1_RMSE,R1_Pct_Within,R2_Count,R2_Mean,R2_Max,R2_RMSE,R2_Pct_Within,R3_Count,R3_Mean,R3_Max,R3_RMSE,R3_Pct_Within,R4_Count,R4_Mean,R4_Max,R4_RMSE,R4_Pct_Within,R5_Count,R5_Mean,R5_Max,R5_RMSE,R5_Pct_Within,R6_Count,R6_Mean,R6_Max,R6_RMSE,R6_Pct_Within,R7_Count,R7_Mean,R7_Max,R7_RMSE,R7_Pct_Within
1_50_directional.obj,7160,0.084575,0.049338,0.105799,0.000023,0.792443,0.135449,98.25,850,0.060613,0.583809,0.095766,99.76,667,0.111203,0.553101,0.139159,99.70,2318,0.070658,0.596383,0.105903,98.79,760,0.233470,0.792443,0.298511,89.21,400,0.057215,0.227221,0.074006,100.00,1009,0.067310,0.276706,0.081420,100.00,1156,0.041385,0.574842,0.083439,99.05
2_50_directional.obj,7160,0.164371,0.094214,0.210414,0.000072,1.602655,0.267005,94.15,850,0.112727,1.122796,0.182923,97.53,667,0.211393,1.062542,0.265302,94.90,2318,0.135658,1.131013,0.203212,98.32,760,0.467530,1.602655,0.603490,61.32,400,0.113562,0.482675,0.146760,100.00,1009,0.131934,0.505825,0.158881,99.90,1156,0.079372,1.083908,0.156910,97.40
3_50_directional.obj,7160,0.257345,0.151922,0.315911,0.000064,2.266865,0.407463,86.97,850,0.159617,1.570358,0.265713,96.71,667,0.336019,1.755351,0.426058,77.36,2318,0.223666,1.831986,0.333880,88.40,760,0.695917,2.266865,0.880408,46.58,400,0.185592,0.700632,0.235332,96.25,1009,0.212072,0.763893,0.256216,97.22,1156,0.127350,1.742184,0.249176,96.89
4_50_directional.obj,7160,0.335894,0.198277,0.417818,0.000038,3.064734,0.536094,79.23,850,0.188995,2.091046,0.311349,92.59,667,0.444097,2.323292,0.559887,60.87,2318,0.294908,2.417531,0.437164,79.38,760,0.927140,3.064734,1.178572,36.32,400,0.241046,0.910078,0.304989,91.00,1009,0.267475,0.973576,0.323983,88.40,1156,0.167492,2.291285,0.328176,95.85
5_50_directional.obj,7160,0.420815,0.246697,0.517747,0.000061,3.885725,0.667194,72.60,850,0.247993,2.561806,0.383208,88.12,667,0.553632,2.717640,0.691374,50.52,2318,0.365598,2.935337,0.538804,72.99,760,1.158001,3.885725,1.476178,29.61,400,0.306036,1.175869,0.383946,82.75,1009,0.334835,1.163112,0.403985,76.91,1156,0.212084,2.779863,0.406390,94.12
6_50_directional.obj,7160,0.522050,0.311396,0.624541,0.000020,4.550222,0.813995,65.98,850,0.316483,3.102834,0.481256,80.94,667,0.699318,3.284314,0.866374,40.18,2318,0.465002,3.684558,0.683575,67.04,760,1.386892,4.550222,1.749474,24.61,400,0.374281,1.362563,0.464783,74.00,1009,0.396527,1.417669,0.479646,66.80,1156,0.277425,3.492801,0.525171,91.44
7_50_directional.obj,7160,0.565700,0.327722,0.719018,0.000067,5.597373,0.914879,63.78,850,0.327860,3.241730,0.520914,79.88,667,0.743370,3.525751,0.921483,39.88,2318,0.478642,3.796150,0.709744,67.47,760,1.611275,5.597373,2.082906,23.16,400,0.438043,1.777540,0.541996,66.75,1009,0.447030,1.509163,0.538062,58.08,1156,0.272987,3.549127,0.527275,89.01
8_50_directional.obj,7160,0.629188,0.356486,0.816603,0.000042,6.544463,1.030882,60.73,850,0.342721,3.285262,0.550800,79.41,667,0.794768,3.843746,0.992871,36.88,2318,0.525319,4.086929,0.777872,65.36,760,1.834003,6.544463,2.396923,21.05,400,0.503343,2.115111,0.626011,58.25,1009,0.515623,1.707086,0.619168,52.23,1156,0.303140,3.806264,0.574185,85.81
